Date,Open,High,Low,Close,Adj Close,Volume,Clase
2012-08-20,40549.839844,40618.039063,40347.800781,40350.0,40350.0,105449600,0
2012-08-21,40338.820313,40639.558594,39965.03125,40096.640625,40096.640625,184962200,0
2012-08-22,40096.828125,40233.738281,39759.28125,40027.128906,40027.128906,225597800,1
2012-08-23,40027.03125,40110.238281,39753.121094,39879.011719,39879.011719,178543600,0
2012-08-24,39877.988281,40239.28125,39766.808594,40211.410156,40211.410156,149959800,-1
2012-08-27,40216.960938,40317.300781,39951.679688,39972.851563,39972.851563,98252800,0
2012-08-28,39965.851563,40045.269531,39736.988281,39950.898438,39950.898438,141457200,0
2012-08-29,39950.648438,40130.488281,39893.621094,39908.898438,39908.898438,170575000,0
2012-08-30,39910.171875,39950.589844,39740.050781,39925.691406,39925.691406,80252600,0
2012-08-31,39885.390625,40166.589844,39390.578125,39421.648438,39421.648438,919109400,0
2012-09-03,39409.429688,39807.378906,39409.429688,39802.941406,39802.941406,58421800,0
2012-09-04,39803.46875,39803.46875,39487.53125,39549.429688,39549.429688,155210000,1
2012-09-05,39550.089844,39705.070313,39524.449219,39573.921875,39573.921875,100835600,0
2012-09-06,39572.519531,40056.460938,39572.519531,39987.058594,39987.058594,193597400,0
2012-09-07,39990.441406,40216.890625,39970.851563,40043.871094,40043.871094,151910000,0
2012-09-10,40045.230469,40168.53125,39822.421875,39991.191406,39991.191406,166905600,0
2012-09-11,39988.21875,40165.351563,39952.160156,39998.96875,39998.96875,186773800,0
2012-09-12,40006.480469,40299.679688,40006.480469,40248.378906,40248.378906,223067800,-1
2012-09-14,40651.929688,41155.359375,40504.371094,40693.46875,40693.46875,248140400,0
2012-09-17,40700.429688,40831.21875,40456.941406,40621.460938,40621.460938,155743400,0
2012-09-18,40621.460938,40700.398438,40498.050781,40590.960938,40590.960938,157762400,0
2012-09-19,40602.371094,40945.03125,40591.53125,40941.308594,40941.308594,190858400,0
2012-09-20,40934.070313,40934.070313,40500.050781,40500.351563,40500.351563,229653800,0
2012-09-21,40497.511719,40637.03125,40286.640625,40338.699219,40338.699219,366635800,0
2012-09-24,40338.679688,40574.238281,40171.53125,40561.21875,40561.21875,157469800,0
2012-09-25,40560.351563,40655.191406,40213.671875,40215.351563,40215.351563,166184600,1
2012-09-26,40216.871094,40333.28125,39758.238281,40332.980469,40332.980469,298427400,0
2012-09-27,40335.269531,40829.019531,40330.378906,40729.699219,40729.699219,232780200,0
2012-09-28,40729.699219,40867.621094,40535.140625,40799.238281,40799.238281,144234800,0
2012-10-01,40876.96875,41162.328125,40876.96875,41124.558594,41124.558594,164113600,0
2012-10-02,41128.910156,41287.660156,41069.519531,41199.289063,41199.289063,169622400,0
2012-10-03,41199.289063,41250.230469,40978.199219,41004.839844,41004.839844,123544200,0
2012-10-04,41005.140625,41489.351563,40996.710938,41421.738281,41421.738281,230228000,0
2012-10-05,41421.738281,42030.601563,41421.738281,41934.078125,41934.078125,275760400,-1
2012-10-08,41946.308594,42046.449219,41754.140625,41756.960938,41756.960938,199266200,0
2012-10-09,41760.960938,41992.820313,41655.640625,41755.160156,41755.160156,292517400,0
2012-10-10,41762.96875,41770.351563,41468.679688,41470.050781,41470.050781,189250800,1
2012-10-11,41482.660156,41745.390625,41482.660156,41745.390625,41745.390625,188274000,0
2012-10-12,41750.730469,41841.558594,41635.050781,41665.480469,41665.480469,181423000,0
2012-10-15,41671.628906,42008.550781,41634.558594,42008.550781,42008.550781,167333600,0
2012-10-16,42008.71875,42521.898438,42003.398438,42518.351563,42518.351563,297097400,-1
2012-10-17,42526.039063,42750.988281,42428.511719,42559.980469,42559.980469,310769600,0
2012-10-18,42561.679688,42699.789063,42420.738281,42592.78125,42592.78125,309468400,0
2012-10-19,42592.441406,42704.820313,42223.191406,42386.828125,42386.828125,195664800,0
2012-10-22,42384.398438,42404.71875,41905.601563,42122.25,42122.25,153310800,0
2012-10-23,42112.070313,42159.761719,41743.109375,42041.140625,42041.140625,151400800,0
2012-10-24,42041.21875,42175.21875,41981.769531,42095.160156,42095.160156,176972000,0
2012-10-25,42096.148438,42266.871094,41794.859375,41877.269531,41877.269531,185341600,0
2012-10-26,41877.96875,42023.359375,41738.800781,41836.921875,41836.921875,129823400,0
2012-10-29,41836.921875,41876.769531,41681.488281,41817.109375,41817.109375,79486000,0
2012-10-30,41817.308594,42020.148438,41427.128906,41599.0,41599.0,76184000,0
2012-10-31,41583.351563,41863.230469,41430.75,41619.960938,41619.960938,275833600,0
2012-11-05,41770.851563,41871.359375,41638.199219,41722.140625,41722.140625,178651600,0
2012-11-06,41722.488281,41835.421875,41549.230469,41720.621094,41720.621094,209251600,0
2012-11-07,41717.011719,41752.511719,40950.328125,41010.980469,41010.980469,225520400,0
2012-11-08,41026.140625,41179.539063,40597.078125,40830.648438,40830.648438,260992400,0
2012-11-09,40802.949219,40877.0,40425.140625,40677.070313,40677.070313,232963600,0
2012-11-12,40696.488281,40864.378906,40568.839844,40859.898438,40859.898438,100396400,0
2012-11-13,40860.230469,41127.308594,40603.558594,41078.5,41078.5,235631800,0
2012-11-14,41069.539063,41124.140625,40722.738281,40750.421875,40750.421875,166499400,0
2012-11-15,40749.28125,40835.328125,40494.410156,40573.660156,40573.660156,195823000,1
2012-11-16,40595.679688,40830.601563,40247.621094,40830.601563,40830.601563,188164400,0
