"fechaSen","fechaEjec","accion","precioEjec","regla","puntaje_regla"
"2007-05-17","2007-05-18","Compra",30761.437399965,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.87262836717443
"2007-06-13","2007-06-14","Venta por banda superior",31970.2091235975,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)",3.8392950338411
"2007-06-20","2007-06-21","Compra",31618.7540577425,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.89039386797577
"2007-07-03","2007-07-04","Venta por banda superior",32180.4770582925,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)",3.85706053464243
"2007-07-04","2007-07-05","Compra",32244.3796508162,"IF Adj.Close.RSI.14 is (62.6,70.3] and Dif.Aroon.25 is [-Inf,-16.5] THEN  is 1; (supportSize=1; laplace=0.666666666666667)",1.54860435496455
"2007-08-14","2007-08-15","Venta por banda inferior",28437.53364984,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)",2.63193768829788
"2007-08-15","2007-08-16","Compra",27359.7639943912,"IF MFI.14 is (47.6,53.2] and Dif.Aroon.25 is [-Inf,-16.5] THEN  is 1; (supportSize=2; laplace=0.75)",2.82587208863815
"2007-08-28","2007-08-29","Venta por banda superior",29435.6064332925,"IF MFI.14 is (42.1,47.6] and Adj.Close.RSI.14 is (47.3,55] THEN  is -1; (supportSize=3; laplace=0.8)",3.87587208863815
"2007-08-29","2007-08-30","Compra",29803.799274965,"IF MFI.14 is (47.6,53.2] and Dif.Aroon.25 is [-Inf,-16.5] THEN  is 1; (supportSize=2; laplace=0.75)",2.85676670191698
"2007-09-03","2007-09-04","Venta por banda superior",30724.576127805,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)",3.88795514792127
