"Date","Open","High","Low","Close","Adj.Close","Volume","Clase"
"2009-07-09",23502.410156,23725.189453,23432.419922,23634.269531,23634.269531,119856400,1
"2009-07-10",23634.269531,23665.630859,23331.160156,23656.259766,23656.259766,131724800,0
"2009-07-13",23656.259766,23952.769531,23534.080078,23951.960938,23951.960938,124812900,-1
"2009-07-14",23953.779297,24410.859375,23953.779297,24340.650391,24340.650391,140769500,0
"2009-07-15",24340.789063,25336.390625,24340.789063,25336.330078,25336.330078,218028000,0
"2009-07-16",25336.460938,25737.589844,25290.460938,25735.560547,25735.560547,140645400,0
"2009-07-17",25733.699219,25881.169922,25564.5,25741.960938,25741.960938,153809500,0
"2009-07-20",25758.289063,26407.189453,25754.679688,26284.060547,26284.060547,190451500,0
"2009-07-21",26282.060547,26450.330078,25804.099609,26004.019531,26004.019531,139020400,0
"2009-07-22",26004.080078,26378.740234,25917.119141,26288.210938,26288.210938,173120300,0
"2009-07-23",26287.449219,26896.769531,26287.449219,26805.419922,26805.419922,192373800,0
"2009-07-24",26805.769531,26851.150391,26510.679688,26646.369141,26646.369141,138510000,0
"2009-07-27",26647.560547,26855.699219,26439.779297,26815.300781,26815.300781,123884600,0
"2009-07-28",26815.300781,26918.019531,26598.660156,26850.75,26850.75,140706200,0
"2009-07-29",26838.140625,26838.140625,26449.220703,26516.5,26516.5,149124400,0
"2009-07-30",26524.119141,26914.960938,26524.119141,26810.269531,26810.269531,133046400,0
"2009-07-31",26807.980469,27156.050781,26807.919922,27043.5,27043.5,158987500,0
"2009-08-03",27074.060547,27803.150391,27074,27692.480469,27692.480469,146920300,0
"2009-08-04",27692.480469,28015.189453,27586.449219,27869.919922,27869.919922,183437700,0
"2009-08-05",27876.650391,28169.640625,27646.890625,28082.630859,28082.630859,170777700,0
"2009-08-06",28086.640625,28275.310547,27786.330078,27802.410156,27802.410156,197996300,0
"2009-08-07",27803.369141,28306,27803.369141,28179.550781,28179.550781,190108500,0
"2009-08-10",28179.800781,28364.550781,28034.630859,28305.320313,28305.320313,132510800,0
"2009-08-11",28305.320313,28378.789063,27738.380859,27800.800781,27800.800781,169969900,0
"2009-08-12",27800.800781,28121.119141,27762.939453,28096.019531,28096.019531,136708400,0
"2009-08-13",28096.660156,28216.529297,27921.599609,28155.490234,28155.490234,176599900,0
"2009-08-14",28155.970703,28201.859375,27595.5,27855.429688,27855.429688,141276600,0
"2009-08-17",27848.099609,27848.099609,27069.669922,27299.580078,27299.580078,171287500,1
"2009-08-18",27299.580078,27599.699219,27299.580078,27544.320313,27544.320313,169366200,0
"2009-08-19",27543.970703,27655.230469,27314.019531,27598.369141,27598.369141,207640100,0
"2009-08-20",27598.890625,27944.740234,27598.890625,27944.240234,27944.240234,189847000,0
"2009-08-21",27945.130859,28390.189453,27945.130859,28308.960938,28308.960938,206511000,-1
