"fechaSen","fechaEjec","accion","precioEjec","regla"
"2012-05-25","2012-05-28","Compra",37766.1897899137,"IF Williams.R.14 is (-85.4,-77.2] and Adj.Close.RSI.14 is (32.3,37.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2012-05-31","2012-06-01","Venta por banda inferior",37410.7543359375,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-06-20","2012-06-21","Compra",38842.0876710237,"IF Dif.Aroon.25 is (88, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2012-06-25","2012-06-26","Venta por banda superior",39210.688535655,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-06-26","2012-06-27","Compra",39663.1547508512,"IF Williams.R.14 is (-9.58,-5.54] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-06-29","2012-07-03","Venta por banda superior",40217.953125,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-07-04","2012-07-05","Compra",40275.5373585237,"IF Williams.R.14 is (-9.58,-5.54] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-07-17","2012-07-18","Venta por banda superior",40939.3988967338,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-07-18","2012-07-19","Compra",40740.5877100862,"IF Dif.Aroon.25 is (88, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2012-07-27","2012-07-30","Venta por banda superior",41253.0834229763,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-07-30","2012-07-31","Compra",41197.997915415,"IF Dif.Aroon.25 is (88, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2012-07-31","2012-08-01","Venta por banda inferior",40737.7499854763,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-08-02","2012-08-03","Compra",41063.2634818213,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-08-08","2012-08-09","Venta por banda inferior",40731.8955178275,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-08-10","2012-08-13","Compra",40747.85191882,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-09-06","2012-09-07","Venta por banda inferior",39993.636416265,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-09-10","2012-09-11","Compra",40158.9027491488,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-09-12","2012-09-14","Venta por banda superior",40727.7905714138,"IF Williams.R.14 is (-14.5,-6.99] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-09-21","2012-09-24","Compra",40473.8169774137,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-09-25","2012-09-26","Venta por banda inferior",39945.6453660863,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2012-09-26","2012-09-27","Compra",40681.1484665462,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2012-10-01","2012-10-01","Venta fin periodo",40917.0993164063,"No aplica"
