"fechaSen","fechaEjec","accion","precioEjec","regla"
"2017-02-07","2017-02-08","Compra",46929.2512552588,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-02-09","2017-02-10","Venta por banda superior",47500.4570948513,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-02-15","2017-02-16","Compra",47400.9314210237,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-02-16","2017-02-17","Venta por banda inferior",47077.8073828125,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-02-17","2017-02-20","Compra",47447.6671098762,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-02-22","2017-02-23","Venta por banda inferior",47044.6288186088,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-02-23","2017-02-24","Compra",47018.9985013525,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-03-16","2017-03-17","Venta por banda superior",48154.8170948513,"IF MFI.14 is (43.8,47.3] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-03-24","2017-03-27","Compra",49150.9694335937,"IF Williams.R.14 is (-9.58,-5.54] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-04-17","2017-04-18","Venta por banda inferior",48552.5994436088,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-04-18","2017-04-19","Compra",48973.6894483675,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-04-25","2017-04-26","Venta por banda superior",49514.6726076713,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-04-28","2017-05-02","Compra",49557.2736766325,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-03","2017-05-04","Venta por banda inferior",48966.9964017413,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-04","2017-05-05","Compra",49347.8706149837,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-09","2017-05-10","Venta por banda superior",49877.20930689,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-11","2017-05-12","Compra",49521.2385013525,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-16","2017-05-17","Venta por banda inferior",48973.5132717338,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-17","2017-05-18","Compra",48573.7624366488,"IF Adj.Close.RSI.14 is [-Inf,53.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2017-05-19","2017-05-22","Venta por banda superior",48981.8030418675,"IF Williams.R.14 is (-62.6,-40.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
