"fechaSen","fechaEjec","accion","precioEjec","regla"
"2014-03-19","2014-03-20","Compra",39254.73194361,"IF Williams.R.14 is (-51.5,-39.7] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-04-04","2014-04-07","Venta por banda superior",40509.8504592338,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-04-07","2014-04-08","Compra",40875.0969726562,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-04-10","2014-04-11","Venta por banda inferior",40137.623203125,"IF Williams.R.14 is (-49.6,-37.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-04-11","2014-04-14","Compra",40583.8707226562,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-04-14","2014-04-15","Venta por banda inferior",40237.414116585,"IF Williams.R.14 is (-49.6,-37.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-04-15","2014-04-16","Compra",40788.1614257812,"IF Williams.R.14 is (-51.5,-39.7] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-04-21","2014-04-22","Venta por banda inferior",40499.279296875,"IF Williams.R.14 is (-49.6,-37.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-04-24","2014-04-25","Compra",40302.250459235,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-04-30","2014-05-02","Venta por banda superior",40789.2556645612,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-05-02","2014-05-05","Compra",40997.6525981575,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-05-13","2014-05-14","Venta por banda superior",42019.5725535863,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-05-15","2014-05-16","Compra",41892.139096805,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-05-16","2014-05-19","Venta por banda inferior",41578.8470507813,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-05-19","2014-05-20","Compra",41939.8420412663,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-05-29","2014-05-30","Venta por banda inferior",41589.449385015,"IF Williams.R.14 is (-49.6,-37.4] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-06-03","2014-06-04","Compra",42096.4532960237,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-06-12","2014-06-13","Venta por banda superior",42573.2941551488,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-06-20","2014-06-23","Compra",42927.0500005012,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-06-25","2014-06-26","Venta por banda inferior",42658.05243189,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-06-30","2014-07-01","Compra",42880.3338919775,"IF Williams.R.14 is (-51.5,-39.7] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-07-10","2014-07-11","Venta por banda superior",43456.9700535863,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-07-14","2014-07-15","Compra",44080.095346805,"IF MFI.14 is (50.8,58] and Dif.Aroon.25 is (72.5, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-07-25","2014-07-25","Venta fin periodo",44305.0457226563,"No aplica"
