"fechaSen","fechaEjec","accion","precioEjec","regla"
"2018-03-09","2018-03-12","Compra",48874.8374661963,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-03-13","2018-03-14","Venta por banda inferior",48231.6733007813,"IF Adj.Close.RSI.14 is (51.9,59] THEN  is -1; (supportSize=7; laplace=0.888888888888889)"
"2018-03-14","2018-03-15","Compra",48263.9507764925,"IF Adj.Close.RSI.14 is (44.7,51.9] THEN  is 1; (supportSize=6; laplace=0.875)"
"2018-04-04","2018-04-05","Venta por banda inferior",47676.2060742188,"IF Adj.Close.RSI.14 is (51.9,59] THEN  is -1; (supportSize=7; laplace=0.888888888888889)"
"2018-04-05","2018-04-06","Compra",47992.9977396337,"IF Comm.Chan.20.0.015 is (24.9,54.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-04-11","2018-04-12","Venta por banda superior",48460.3365379613,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2018-04-12","2018-04-13","Compra",48816.3165286962,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2018-04-13","2018-04-16","Venta por banda inferior",48487.8281840925,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2018-04-16","2018-04-17","Compra",48774.6227100862,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2018-04-19","2018-04-20","Venta por banda inferior",48462.50493189,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2018-04-20","2018-04-23","Compra",48794.7823585237,"IF Comm.Chan.20.0.015 is (24.9,54.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-04-23","2018-04-24","Venta por banda inferior",48135.9834375,"IF Adj.Close.RSI.14 is (51.9,59] THEN  is -1; (supportSize=7; laplace=0.888888888888889)"
"2018-04-24","2018-04-25","Compra",48188.953203125,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-06-07","2018-06-08","Venta por banda inferior",45521.5242482963,"IF Adj.Close.RSI.14 is (51.9,59] THEN  is -1; (supportSize=7; laplace=0.888888888888889)"
"2018-06-08","2018-06-11","Compra",46260.6875290462,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-06-12","2018-06-13","Venta por banda superior",46757.9664112575,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2018-06-14","2018-06-15","Compra",47010.6378077425,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2018-06-15","2018-06-18","Venta por banda inferior",46476.1336964138,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2018-06-19","2018-06-20","Compra",46816.6109818212,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-06-21","2018-06-22","Venta por banda inferior",46415.0212354763,"IF Adj.Close.RSI.14 is (51.9,59] THEN  is -1; (supportSize=7; laplace=0.888888888888889)"
"2018-06-25","2018-06-26","Compra",46882.1533350863,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2018-07-04","2018-07-05","Venta por banda superior",47693.0934375,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
