"fechaSen","fechaEjec","accion","precioEjec","regla"
"2016-09-30","2016-10-03","Compra",47462.0095164762,"IF Adj.Close.RSI.14 is (46.6,51.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-10-04","2016-10-05","Venta por banda superior",47945.3518359375,"IF Williams.R.14 is (-38.9,-15.2] THEN  is -1; (supportSize=2; laplace=0.75)"
"2016-10-07","2016-10-10","Compra",48104.4005516325,"IF Adj.Close.RSI.14 is (46.6,51.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-10-11","2016-10-12","Venta por banda inferior",47785.2082762425,"IF Williams.R.14 is (-38.9,-15.2] THEN  is -1; (supportSize=2; laplace=0.75)"
"2016-10-13","2016-10-14","Compra",47962.8777048275,"IF Adj.Close.RSI.14 is (46.6,51.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-11-09","2016-11-10","Venta por banda inferior",46550.5370658038,"IF Comm.Chan.20.0.015 is (-73.2,-30.3] and Williams.R.14 is (-60.5,-48.4] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-11-10","2016-11-11","Compra",45353.8303367887,"IF Adj.Close.RSI.14 is [-Inf,38.6] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-12-01","2016-12-02","Venta por banda inferior",44633.1978956325,"IF Comm.Chan.20.0.015 is (-73.2,-30.3] and Williams.R.14 is (-60.5,-48.4] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-12-02","2016-12-05","Compra",44932.3221632112,"IF Adj.Close.RSI.14 is [-Inf,38.6] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-12-07","2016-12-08","Venta por banda superior",45834.1684129613,"IF Williams.R.14 is (-8.34, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2016-12-15","2016-12-16","Compra",45632.215971805,"IF Adj.Close.RSI.14 is (46.6,51.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2017-01-03","2017-01-04","Venta por banda superior",46212.4624949925,"IF Williams.R.14 is (-38.9,-15.2] THEN  is -1; (supportSize=2; laplace=0.75)"
"2017-01-09","2017-01-10","Compra",45842.0948294775,"IF Adj.Close.RSI.14 is (38.6,44.4] THEN  is 1; (supportSize=2; laplace=0.75)"
"2017-01-20","2017-01-23","Venta por banda superior",46539.2957081325,"IF Williams.R.14 is (-38.9,-15.2] THEN  is -1; (supportSize=2; laplace=0.75)"
"2017-01-27","2017-01-30","Compra",47304.4368797575,"IF Williams.R.14 is (-48.4,-38.9] THEN  is 1; (supportSize=2; laplace=0.75)"
"2017-02-02","2017-02-02","Venta fin periodo",46893.018559695,"No aplica"
