"fechaSen","fechaEjec","accion","precioEjec","regla"
"2010-12-20","2010-12-21","Compra",38241.8114257812,"IF MFI.14 is (68.5,74.3] and Comm.Chan.20.0.015 is (54,90.4] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-12-23","2010-12-27","Venta por banda inferior",37891.7129882813,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2011-01-10","2011-01-11","Compra",38380.0409036963,"IF Williams.R.14 is (-50.3,-38] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-01-11","2011-01-12","Venta por banda inferior",38015.8023783038,"IF Williams.R.14 is (-87.3,-75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-01-13","2011-01-14","Compra",38094.919721805,"IF MFI.14 is (45.3,51.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-01-20","2011-01-21","Venta por banda inferior",37432.264877805,"IF Williams.R.14 is (-87.3,-75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-02-01","2011-02-02","Compra",37871.8732617187,"IF MFI.14 is (45.3,51.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-02-03","2011-02-04","Venta por banda inferior",37514.0501367188,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2011-02-08","2011-02-09","Compra",37333.6619483675,"IF Williams.R.14 is (-50.3,-38] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-02-09","2011-02-10","Venta por banda inferior",36724.5288872175,"IF Williams.R.14 is (-75,-62.7] and Comm.Chan.20.0.015 is (-91.2,-54.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-02-11","2011-02-14","Compra",37084.0981888525,"IF MFI.14 is (45.3,51.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-02-22","2011-02-23","Venta por banda inferior",36504.0619040475,"IF Williams.R.14 is (-87.3,-75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-02-28","2011-03-01","Compra",37062.9164600862,"IF Williams.R.14 is (-50.3,-38] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-03-07","2011-03-08","Venta por banda inferior",36599.98555689,"IF Williams.R.14 is (-87.3,-75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-03-14","2011-03-15","Compra",35960.7793164062,"IF MFI.14 is (45.3,51.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-03-23","2011-03-24","Venta por banda superior",36619.4173242188,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2011-03-30","2011-03-31","Compra",37439.5451367187,"IF MFI.14 is (45.3,51.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-04-01","2011-04-04","Venta por banda superior",37777.6687354763,"IF Williams.R.14 is (-13.3, Inf] and MFI.14 is (56.9,62.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-04-08","2011-04-11","Compra",37708.6811428287,"IF MFI.14 is (68.5,74.3] and Comm.Chan.20.0.015 is (54,90.4] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-04-11","2011-04-12","Venta por banda inferior",37340.549429085,"IF MFI.14 is (68.5,74.3] and Adj.Close.RSI.14 is (59.7,67] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-04-12","2011-04-13","Compra",37441.9554444613,"IF Williams.R.14 is (-50.3,-38] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-04-15","2011-04-18","Venta por banda inferior",36531.7873387425,"IF Williams.R.14 is (-87.3,-75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
