"fechaSen","fechaEjec","accion","precioEjec","regla"
"2008-02-05","2008-02-06","Compra",28306.2845507812,"IF Williams.R.14 is (-36.5,-24.4] and Adj.Close.RSI.14 is (47.5,54.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-02-07","2008-02-08","Venta por banda inferior",28016.5623487575,"IF MFI.14 is (72.3, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-02-08","2008-02-11","Compra",28459.43600611,"IF Dif.Aroon.25 is (25.5,49] and Williams.R.14 is (-36.5,-24.4] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-02-11","2008-02-12","Venta por banda superior",29009.804465145,"IF MFI.14 is (72.3, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-02-15","2008-02-18","Compra",29015.3526047925,"IF Dif.Aroon.25 is (25.5,49] and Williams.R.14 is (-36.5,-24.4] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-02-26","2008-02-27","Venta por banda superior",30288.5195878388,"IF MFI.14 is (72.3, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-03-06","2008-03-07","Compra",28719.5896513175,"IF Comm.Chan.20.0.015 is (-62.8,-15.8] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-03-12","2008-03-13","Venta por banda superior",29205.3631715738,"IF Williams.R.14 is (-60.7,-48.6] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-03-13","2008-03-14","Compra",29261.8217335237,"IF Adj.Close.RSI.14 is (54.8,62.2] and Dif.Aroon.25 is (49,72.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-03-25","2008-03-26","Venta por banda superior",29829.2799394013,"IF Williams.R.14 is (-12.2, Inf] and MFI.14 is (43.7,50.8] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-04-01","2008-04-02","Compra",31929.9255545125,"IF Williams.R.14 is (-12.2, Inf] and Dif.Aroon.25 is (49,72.5] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-04-02","2008-04-03","Venta por banda inferior",31454.07690705,"IF Williams.R.14 is (-24.4,-12.2] and Dif.Aroon.25 is (49,72.5] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-04-09","2008-04-10","Compra",31491.8536137825,"IF Adj.Close.RSI.14 is (54.8,62.2] and Dif.Aroon.25 is (49,72.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-04-14","2008-04-15","Venta por banda inferior",31229.1318895237,"IF Williams.R.14 is (-48.6,-36.5] and Comm.Chan.20.0.015 is (31.3,78.3] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-04-15","2008-04-16","Compra",31725.2461866488,"IF Adj.Close.RSI.14 is (54.8,62.2] and Dif.Aroon.25 is (49,72.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-04-25","2008-04-28","Venta por banda inferior",30857.686852965,"IF MFI.14 is (29.4,36.6] and Adj.Close.RSI.14 is (32.7,40.1] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-04-28","2008-04-29","Compra",30558.876596805,"IF Adj.Close.RSI.14 is (25.3,32.7] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-04-29","2008-04-30","Venta por banda inferior",30336.718125,"IF MFI.14 is (29.4,36.6] and Adj.Close.RSI.14 is [-Inf,25.3] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-04-30","2008-05-02","Compra",30485.8595484025,"IF Comm.Chan.20.0.015 is (-157,-110] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-05-05","2008-05-06","Venta por banda superior",30981.8015700112,"IF Comm.Chan.20.0.015 is (-110,-62.8] and Williams.R.14 is (-72.8,-60.7] THEN  is -1; (supportSize=2; laplace=0.75)"
"2008-05-06","2008-05-07","Compra",31117.4541287312,"IF Comm.Chan.20.0.015 is (-62.8,-15.8] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-05-27","2008-05-28","Venta por banda superior",31393.7641992188,"IF Williams.R.14 is (-48.6,-36.5] and Comm.Chan.20.0.015 is (31.3,78.3] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-06-04","2008-06-05","Compra",31665.0952077075,"IF MFI.14 is (50.8,58] and Dif.Aroon.25 is (72.5, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-06-05","2008-06-06","Venta por banda inferior",31322.9212424888,"IF Williams.R.14 is (-48.6,-36.5] and Comm.Chan.20.0.015 is (31.3,78.3] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-06-06","2008-06-09","Compra",31041.309162535,"IF Comm.Chan.20.0.015 is (-62.8,-15.8] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-06-11","2008-06-11","Venta fin periodo",30681.51413061,"No aplica"
