"Date","Open","High","Low","Close","Adj.Close","Volume","Clase"
"2012-10-02",41128.910156,41287.660156,41069.519531,41199.289063,41199.289063,169622400,1
"2012-10-03",41199.289063,41250.230469,40978.199219,41004.839844,41004.839844,123544200,0
"2012-10-04",41005.140625,41489.351563,40996.710938,41421.738281,41421.738281,230228000,0
"2012-10-05",41421.738281,42030.601563,41421.738281,41934.078125,41934.078125,275760400,0
"2012-10-08",41946.308594,42046.449219,41754.140625,41756.960938,41756.960938,199266200,0
"2012-10-09",41760.960938,41992.820313,41655.640625,41755.160156,41755.160156,292517400,0
"2012-10-10",41762.96875,41770.351563,41468.679688,41470.050781,41470.050781,189250800,0
"2012-10-11",41482.660156,41745.390625,41482.660156,41745.390625,41745.390625,188274000,0
"2012-10-12",41750.730469,41841.558594,41635.050781,41665.480469,41665.480469,181423000,0
"2012-10-15",41671.628906,42008.550781,41634.558594,42008.550781,42008.550781,167333600,-1
"2012-10-16",42008.71875,42521.898438,42003.398438,42518.351563,42518.351563,297097400,0
"2012-10-17",42526.039063,42750.988281,42428.511719,42559.980469,42559.980469,310769600,0
"2012-10-18",42561.679688,42699.789063,42420.738281,42592.78125,42592.78125,309468400,0
"2012-10-19",42592.441406,42704.820313,42223.191406,42386.828125,42386.828125,195664800,1
"2012-10-22",42384.398438,42404.71875,41905.601563,42122.25,42122.25,153310800,0
"2012-10-23",42112.070313,42159.761719,41743.109375,42041.140625,42041.140625,151400800,0
"2012-10-24",42041.21875,42175.21875,41981.769531,42095.160156,42095.160156,176972000,0
"2012-10-25",42096.148438,42266.871094,41794.859375,41877.269531,41877.269531,185341600,0
"2012-10-26",41877.96875,42023.359375,41738.800781,41836.921875,41836.921875,129823400,0
"2012-10-29",41836.921875,41876.769531,41681.488281,41817.109375,41817.109375,79486000,0
"2012-10-30",41817.308594,42020.148438,41427.128906,41599,41599,76184000,0
"2012-10-31",41583.351563,41863.230469,41430.75,41619.960938,41619.960938,275833600,0
"2012-11-05",41770.851563,41871.359375,41638.199219,41722.140625,41722.140625,178651600,0
"2012-11-06",41722.488281,41835.421875,41549.230469,41720.621094,41720.621094,209251600,0
