"fechaSen","fechaEjec","accion","precioEjec","regla"
"2007-09-21","2007-09-24","Compra",30662.2545140975,"IF Williams.R.14 is (-36,-26.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2007-10-02","2007-10-03","Venta por banda superior",31304.6671875,"IF Williams.R.14 is (-8.82, Inf] and Adj.Close.RSI.14 is (67, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-10-05","2007-10-08","Compra",31704.8447241837,"IF Williams.R.14 is (-11.8,-6.4] THEN  is 1; (supportSize=3; laplace=0.8)"
"2007-10-10","2007-10-11","Venta por banda superior",32231.5336673663,"IF Dif.Aroon.25 is (66,80] and Adj.Close.RSI.14 is (74.1, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-10-11","2007-10-12","Compra",32327.4775023787,"IF Williams.R.14 is (-36,-26.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2007-11-27","2007-11-28","Venta por banda inferior",28704.0551297063,"IF MFI.14 is (43.8,47.3] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2007-11-29","2007-11-30","Compra",29814.76118139,"IF Williams.R.14 is (-36,-26.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2007-12-04","2007-12-05","Venta por banda superior",30332.024809695,"IF Adj.Close.RSI.14 is (60.5,63.5] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-12-05","2007-12-06","Compra",31094.532709585,"IF MFI.14 is (72.3, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-01-15","2008-01-16","Venta por banda inferior",27399.5540479763,"IF MFI.14 is (43.8,47.3] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2008-01-24","2008-01-25","Compra",27969.5395140975,"IF Williams.R.14 is (-36,-26.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-01-30","2008-01-30","Venta fin periodo",28372.201296075,"No aplica"
