"fechaSen","fechaEjec","accion","precioEjec","regla"
"2007-09-21","2007-09-24","Compra",30662.2545140975,"IF Williams.R.14 is (-35.8,-23.9] THEN  is 1; (supportSize=3; laplace=0.8)"
"2007-10-05","2007-10-08","Venta por banda superior",31546.7158228163,"IF Williams.R.14 is (-11.9, Inf] and Adj.Close.RSI.14 is (64.8,71.5] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-10-10","2007-10-11","Compra",32393.0952396338,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2007-11-08","2007-11-09","Venta por banda inferior",28972.2930103163,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)"
"2007-11-09","2007-11-12","Compra",28734.8787552587,"IF Comm.Chan.20.0.015 is [-Inf,-104] THEN  is 1; (supportSize=2; laplace=0.75)"
"2007-11-28","2007-11-29","Venta por banda superior",29394.6641235975,"IF MFI.14 is (42.1,47.6] and Adj.Close.RSI.14 is (47.3,55] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-11-29","2007-11-30","Compra",29814.76118139,"IF Williams.R.14 is (-35.8,-23.9] THEN  is 1; (supportSize=3; laplace=0.8)"
"2007-12-04","2007-12-05","Venta por banda superior",30332.024809695,"IF Comm.Chan.20.0.015 is (59.6,100] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-12-11","2007-12-13","Compra",30070.2126710237,"IF Williams.R.14 is (-35.8,-23.9] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-01-16","2008-01-17","Venta por banda inferior",27015.13274439,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)"
"2008-01-17","2008-01-18","Compra",26801.8981983675,"IF Comm.Chan.20.0.015 is [-Inf,-104] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-01-30","2008-01-30","Venta fin periodo",28372.201296075,"No aplica"
