"fechaSen","fechaEjec","accion","precioEjec","regla"
"2007-09-26","2007-09-27","Compra",30523.377915415,"IF Dif.Aroon.25 is (-56,32] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2007-10-01","2007-10-02","Venta por banda superior",31120.35860577,"IF Adj.Close.RSI.14 is (60.5,63.5] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-10-02","2007-10-03","Compra",31461.5828125,"IF Comm.Chan.20.0.015 is (108, Inf] THEN  is 1; (supportSize=2; laplace=0.75)"
"2007-10-10","2007-10-11","Venta por banda superior",32231.5336673663,"IF Williams.R.14 is (-8.82, Inf] and Adj.Close.RSI.14 is (67, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-10-11","2007-10-12","Compra",32327.4775023787,"IF Comm.Chan.20.0.015 is (108, Inf] THEN  is 1; (supportSize=2; laplace=0.75)"
"2007-11-08","2007-11-09","Venta por banda inferior",28972.2930103163,"IF Comm.Chan.20.0.015 is [-Inf,-119] and Dif.Aroon.25 is (-67,-56] THEN  is -1; (supportSize=2; laplace=0.75)"
"2007-11-09","2007-11-12","Compra",28734.8787552587,"IF Dif.Aroon.25 is (-67,-56] THEN  is 1; (supportSize=2; laplace=0.75)"
"2007-11-13","2007-11-14","Venta por banda superior",29766.2328735975,"IF Comm.Chan.20.0.015 is (-119,-54.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2007-11-14","2007-11-15","Compra",29467.7160451725,"IF Dif.Aroon.25 is (-67,-56] THEN  is 1; (supportSize=2; laplace=0.75)"
"2007-12-04","2007-12-05","Venta por banda superior",30332.024809695,"IF Adj.Close.RSI.14 is (60.5,63.5] THEN  is -1; (supportSize=3; laplace=0.8)"
"2007-12-05","2007-12-06","Compra",31094.532709585,"IF MFI.14 is (72.3, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-01-15","2008-01-16","Venta por banda inferior",27399.5540479763,"IF Comm.Chan.20.0.015 is (-119,-54.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-01-16","2008-01-17","Compra",27150.54694361,"IF Comm.Chan.20.0.015 is [-Inf,-119] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-01-23","2008-01-24","Venta por banda superior",27904.8735206325,"IF Comm.Chan.20.0.015 is (-119,-54.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
