"fechaSen","fechaEjec","accion","precioEjec","regla"
"2008-10-22","2008-10-23","Compra",18319.58024677,"IF Dif.Aroon.25 is [-Inf,-92] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-10-30","2008-10-31","Venta por banda superior",20184.8362424887,"IF MFI.14 is (48.6,51.4] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-10-31","2008-11-03","Compra",20511.7912476212,"IF MFI.14 is (41.2,48.6] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-11-20","2008-11-21","Venta por banda inferior",18152.640402645,"IF Williams.R.14 is (-97.1,-90.8] THEN  is -1; (supportSize=2; laplace=0.75)"
"2008-11-21","2008-11-24","Compra",18959.4904859025,"IF MFI.14 is (41.2,48.6] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-11-25","2008-11-26","Venta por banda superior",19496.466752805,"IF MFI.14 is (33.4,36.3] THEN  is -1; (supportSize=3; laplace=0.8)"
"2008-11-26","2008-11-27","Compra",20105.9745484025,"IF MFI.14 is (41.2,48.6] THEN  is 1; (supportSize=3; laplace=0.8)"
"2008-12-05","2008-12-08","Venta por banda superior",20586.5345582925,"IF MFI.14 is (48.6,51.4] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2009-01-02","2009-01-05","Compra",23395.2416630362,"IF MFI.14 is (41.2,48.6] THEN  is 1; (supportSize=3; laplace=0.8)"
"2009-01-12","2009-01-13","Venta por banda inferior",21023.1356325113,"IF Adj.Close.RSI.14 is (20.6,32.3] THEN  is -1; (supportSize=2; laplace=0.75)"
"2009-01-13","2009-01-14","Compra",20726.983159305,"IF Comm.Chan.20.0.015 is (-140,-115] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2009-02-19","2009-02-20","Venta por banda inferior",18438.8274389025,"IF Adj.Close.RSI.14 is (20.6,32.3] THEN  is -1; (supportSize=2; laplace=0.75)"
