"fechaSen","fechaEjec","accion","precioEjec","regla"
"2016-01-12","2016-01-13","Compra",40969.4592430387,"IF MFI.14 is (32,39.3] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-01-25","2016-01-26","Venta por banda superior",41640.0179592338,"IF Dif.Aroon.25 is (-52,-30] THEN  is -1; (supportSize=2; laplace=0.75)"
"2016-01-27","2016-01-28","Compra",42355.9852734375,"IF MFI.14 is (61,68.2] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-01-29","2016-02-02","Venta por banda superior",43154.0612550075,"IF Comm.Chan.20.0.015 is (91.5, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-02-09","2016-02-10","Compra",42709.3665234375,"IF MFI.14 is (61,68.2] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-02-17","2016-02-18","Venta por banda superior",43396.47323718,"IF Comm.Chan.20.0.015 is (55.3,91.5] THEN  is -1; (supportSize=3; laplace=0.6)"
"2016-02-19","2016-02-22","Compra",43739.77792493,"IF MFI.14 is (39.3,46.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-03-02","2016-03-03","Venta por banda superior",44603.7151467338,"IF Comm.Chan.20.0.015 is (91.5, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-03-08","2016-03-09","Compra",44540.05096229,"IF MFI.14 is (61,68.2] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-03-17","2016-03-18","Venta por banda superior",45552.2499754613,"IF Comm.Chan.20.0.015 is (91.5, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
